NTAName,Pop_1E,MaleE,FemE,Hsp1E,NHspE,WtNHE,BlNHE,AIANNHE,AsnNHE,NHPINHE,OthNHE,Rc2plNHE,BoroCode,Shape_Leng,Shape_Area
Midtown South-Flatiron-Union Square,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526315,32578.42105263158,20508.105263157893,5279.289473684211,41.973684210526315,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,18800.7659695,14878105.144099997
Midtown-Times Square,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526315,32578.42105263158,20508.105263157893,5279.289473684211,41.973684210526315,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,21258.4013714,24552509.126
Midwood,39309.565217391304,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,25033.2774041,32217737.395500004
Miller Field,21443.217391304348,10467.608695652174,10975.608695652174,3954.6521739130435,17488.565217391304,12788.608695652174,1949.9565217391305,29.217391304347824,2221.782608695652,0.0,45.73913043478261,453.2608695652174,5.0,19197.2009732,10866804.1436
Montefiore Cemetery,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,11843.0836062,5322022.89155
Morningside Heights,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526315,32578.42105263158,20508.105263157893,5279.289473684211,41.973684210526315,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,17757.8073339,15922766.5105
Morris Park,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,24671.3980769,27833108.8186
Morrisania,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,21889.2147161,13811173.7627
Mott Haven-Port Morris,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,29217.8230113,40974654.6448
Mount Eden-Claremont (West),30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,21548.5389296,13607266.0084
Mount Hebron & Cedar Grove Cemeteries,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,15876.2581121,9208958.14137
Mount Hope,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,16278.243664,12684327.5421
Mount Olivet & All Faiths Cemeteries,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,19120.1861238,7642767.67572
Murray Hill-Broadway Flushing,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,37469.2244064,56452698.9206
Murray Hill-Kips Bay,43615.10526315789,20781.973684210527,22833.13157894737,11036.684210526315,32578.42105263158,20508.105263157893,5279.289473684211,41.973684210526315,5196.421052631579,9.842105263157896,272.44736842105266,1270.342105263158,1.0,23944.8002383,15771152.6765
New Dorp-Midland Beach,21443.217391304348,10467.608695652174,10975.608695652174,3954.6521739130435,17488.565217391304,12788.608695652174,1949.9565217391305,29.217391304347824,2221.782608695652,0.0,45.73913043478261,453.2608695652174,5.0,49753.47357709999,62182629.3757
New Springville-Willowbrook-Bulls Head-Travis,21443.217391304348,10467.608695652174,10975.608695652174,3954.6521739130435,17488.565217391304,12788.608695652174,1949.9565217391305,29.217391304347824,2221.782608695652,0.0,45.73913043478261,453.2608695652174,5.0,91568.3054592,209443473.653
North & South Brother Islands,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,6884.55137338,930649.1830719999
North Corona,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,15547.581323599998,13961243.7702
Norwood,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,22150.3086645,15724928.6239
Oakland Gardens-Hollis Hills,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,33891.0996748,39634775.4019
Oakwood-Richmondtown,21443.217391304348,10467.608695652174,10975.608695652174,3954.6521739130435,17488.565217391304,12788.608695652174,1949.9565217391305,29.217391304347824,2221.782608695652,0.0,45.73913043478261,453.2608695652174,5.0,44192.903218,55937303.1147
Ocean Hill,39309.565217391304,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,22494.5815273,20089910.8185
Old Astoria-Hallets Point,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,15402.9907928,11092345.0547
Ozone Park,28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,25097.1962606,25107784.8345
Ozone Park (North),28912.831325301206,14155.301204819278,14757.530120481928,8075.240963855422,20837.590361445782,7098.951807228916,4884.253012048192,77.8433734939759,7380.578313253012,9.240963855421686,571.156626506024,815.566265060241,4.0,24790.7567832,18087303.6296
Park Slope,39309.565217391304,18724.27536231884,20585.289855072464,7384.449275362319,31925.115942028984,14439.623188405798,11254.797101449276,48.81159420289855,4618.63768115942,16.463768115942027,258.768115942029,1288.0144927536232,3.0,23501.696633,25829299.245
Parkchester,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,12411.8211658,9184335.19283
Pelham Bay Park,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,111114.67902300002,99256120.37169999
Pelham Bay-Country Club-City Island,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,121141.290814,35309788.882
Pelham Gardens,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,24343.0047644,30064822.7853
Pelham Parkway-Van Nest,30068.448979591838,14181.734693877552,15886.714285714286,16957.122448979593,13111.326530612245,2680.673469387755,8508.102040816326,69.6734693877551,1102.3061224489795,6.36734693877551,267.61224489795916,476.59183673469386,2.0,22996.7596459,15587595.457400002
